PRT_ID;AREA;INT_SQFT;DATE_SALE;DIST_MAINROAD;N_BEDROOM;N_BATHROOM;N_ROOM;SALE_COND;PARK_FACIL;DATE_BUILD;BUILDTYPE;UTILITY_AVAIL;STREET;MZZONE;QS_ROOMS;QS_BATHROOM;QS_BEDROOM;QS_OVERALL;SALES_PRICE
P02331;KK Nagar;2340;24/10/2011;129;4;2;6;AdjLand;Yes;29/10/1991;Others;NoSeWa;Paved;RH;3.7;3;4.6;3.85;12948200
P02591;Karapakkam;1344;05/09/2011;151;2;2;4;AbNormal;Yes;15/09/1970;House;NoSeWa;Gravel;I;3.4;4.1;3.2;3.53;7524750
P06195;KK Nagar;1900;07/10/2009;87;3;2;5;Partial;Yes;13/10/1984;Commercial;NoSewr ;Paved;RM;2.7;4;2.2;2.89;16434500
P02695;Karapakkam;1504;15/08/2011;129;2;2;4;AdjLand;No;25/08/1970;House;NoSewr ;Gravel;C;4.3;2.1;2.4;2.88;6705750
P06266;Velachery;1910;25/09/2009;28;3;2;5;AdjLand;No;28/09/1999;Commercial;NoSewr ;Gravel;I;2.1;4.6;3.3;3.59;15831550
P02067;Velachery;1715;16/12/2011;14;2;1;4;AbNormal;Yes;28/12/1961;House;AllPub;Gravel;I;3.5;2.1;2.9;2.69;9316900
P05749;Chrompet;779;30/12/2009;119;1;1;2;Family;Yes;09/01/1970;Others;NoSewr ;Paved;RH;2.9;3.8;3.6;3.47;7574830
P00851;T Nagar;1624;16/06/2013;98;1;1;4;Family;Yes;27/06/1970;Others;AllPub;Paved;RL;4.7;3.4;4.1;4.105;13234330
P02255;Anna Nagar;1892;05/11/2011;143;2;1;5;Normal Sale;Yes;06/11/2005;Others;AllPub;No Access;RL;2;3.5;4.3;3.295;14771930
P04442;Anna Nagar;1517;30/08/2010;64;1;1;4;Normal Sale;No;04/09/1990;Commercial;AllPub;Gravel;RL;3.3;4;2.3;3.075;18076450
P04391;Velachery;1637;10/09/2010;155;2;1;4;AdjLand;Yes;12/09/2001;Others;NoSeWa;Paved;RM;4.7;4.4;4.3;4.45;12129780
P04928;Karapakkam;613;01/06/2010;81;1;1;2;Family;No;08/06/1980;Commercial;NoSewr ;No Access;I;4.6;4.3;2.3;3.59;5144500
P06054;KK Nagar;1333;01/11/2009;74;2;1;4;Normal Sale;No;07/11/1987;Others;NoSeWa;Gravel;RM;2;4;2.1;2.64;9708700
P07984;Chrompet;821;31/05/2008;22;1;1;3;AdjLand;Yes;03/06/1999;House;NoSeWa;Gravel;RH;2.7;2.5;3.8;2.95;8707750
P04617;Adyar;1293;30/07/2010;136;2;2;4;AdjLand;No;31/07/2005;House;NoSeWa;No Access;RH;3.1;3.2;3.4;3.27;9104275
P00166;Chrmpet;1277;29/10/2014;111;2;1;4;AdjLand;Yes;02/11/1998;Commercial;AllPub;No Access;RM;4;3.8;3.4;3.74;15710400
P06600;Adyar;824;17/07/2009;46;1;1;3;Family;Yes;24/07/1980;Others;AllPub;Paved;I;2;2.2;3.4;2.74;7881135
P02957;Velachery;1505;23/06/2011;83;2;1;4;Normal Sale;No;02/07/1972;Others;AllPub;Paved;I;4.5;3.5;4.1;3.93;8239330
P08422;Chrompet;740;08/01/2008;17;1;1;2;AbNormal;Yes;16/01/1974;House;NoSeWa;Gravel;RH;3.9;3.2;2.3;3.14;7525500
P06542;Anna Nagar;1740;28/07/2009;182;1;1;4;AbNormal;Yes;05/08/1979;House;ELO;Paved;RH;4.8;2.4;4.8;4.2;12115600
P09054;T Nagar;1540;30/04/2007;70;1;1;4;Partial;No;01/05/2001;Commercial;NoSeWa;Gravel;RH;2.5;4.1;4.3;3.71;17436220
P08835;Anna Nagar;1899;31/07/2007;49;2;1;5;Partial;Yes;07/08/1978;House;ELO;No Access;RL;3;3.3;3.4;3.235;12511230
P05726;Karapakkam;1390;03/01/2010;6;2;2;4;Partial;No;13/01/1971;Others;NoSewr ;No Access;I;3.5;4.5;2.4;3.36;5940500
P01922;Karapakkam;1180;14/01/2012;81;1;1;3;Partial;No;18/01/1993;Others;NoSeWa;Gravel;RM;2.3;2.2;3.4;2.71;8366750
P08780;Chrompet;911;23/08/2007;125;1;1;3;Partial;Yes;26/08/1993;Others;ELO;Paved;RH;4.5;3.5;2;3.35;8383570
P00451;Anna Nagar;1695;05/04/2014;71;1;1;4;Normal Sale;No;12/04/1984;Others;NoSeWa;Gravel;RH;4.6;2.6;4.5;4.06;12570050
P00233;Anna Nagar;1828;05/09/2014;26;2;1;5;Partial;Yes;15/09/1975;Commercial;AllPub;No Access;RM;2.3;2.8;3.2;2.785;20581330
P06634;KK Nagar;2334;10/07/2009;153;4;2;6;Family;No;12/07/2001;Commercial;AllPub;Paved;RH;3.7;3.1;3.4;3.4;17422560
P00962;Chrompet;729;05/04/2013;142;1;1;2;Normal Sale;No;10/04/1993;Commercial;NoSewr ;No Access;RM;4.7;2.4;5;3.87;9860400
P00784;Chrompet;978;26/07/2013;183;1;1;3;AbNormal;No;05/08/1974;Others;NoSewr ;Gravel;RH;4.4;4.2;3.2;3.96;8196110
P08352;Chrompet;1300;04/02/2008;73;2;1;4;AdjLand;No;05/02/2001;Commercial;AllPub;No Access;RL;3;3.3;2.8;3.06;14366450
P09445;Velachery;1726;01/12/2006;29;2;1;4;AbNormal;Yes;05/12/1988;House;ELO;No Access;C;4.1;2.4;3.9;3.28;8001610
P04314;Karapakkam;1409;23/09/2010;191;2;2;4;Family;Yes;25/09/2002;Others;NoSeWa;Paved;RH;3.7;2.1;5;3.74;8826875
P01867;KK Nagar;1952;25/01/2012;9;3;2;5;Partial;Yes;29/01/1993;House;NoSeWa;Gravel;RL;3.4;2.9;2.5;2.89;11148980
P03180;KK Nagar;1721;11/05/2011;33;2;1;4;Normal Sale;Yes;18/05/1981;House;AllPub;Paved;RL;3;2.1;2.3;2.45;10199400
P01340;Chrompet;1168;25/07/2012;116;1;1;3;Family;Yes;04/08/1974;Commercial;ELO;Paved;RH;3.9;4.1;4.1;4.04;13063900
P02177;Velachery;1617;23/11/2011;171;2;1;4;Family;No;03/12/1969;House;NoSewr ;No Access;RM;4;2.1;2.7;2.76;8528890
P09932;Velachery;1842;27/08/2004;56;3;2;5;Family;Yes;31/08/1990;Commercial;NoSeWa;Gravel;RH;3.8;2.1;4.1;3.13;16294030
P03640;Karapakkam;1401;09/02/2011;132;2;2;4;AdjLand;No;19/02/1970;House;AllPub;Paved;RL;5;2.8;3.4;3.7;7900250
P05834;Chrompet;1117;13/12/2009;152;1;1;3;Family;No;22/12/1972;Others;AllPub;Paved;RH;3.4;3.2;2.5;3.05;8282640
P02868;Velachery;1612;09/07/2011;146;2;1;4;Family;No;15/07/1987;Commercial;NoSewr ;Gravel;A;5;3.7;2.8;3.76;12076530
P07622;KK Nagar;1621;18/09/2008;93;2;1;4;AdjLand;Yes;22/09/1995;Commercial;NoSewr ;Gravel;RM;3.4;3.7;3.4;3.49;16197860
P08848;Anna Nagar;1622;26/07/2007;147;1;1;4;Family;Yes;27/07/2002;House;ELO;Gravel;RL;4.4;3.7;4.2;4.145;13063450
P03133;Karapakkam;914;20/05/2011;132;1;1;3;Family;Yes;25/05/1988;Others;AllPub;No Access;RH;4.4;3.6;3.8;3.92;6688000
P07092;T Nagar;1649;28/02/2009;169;1;1;4;AdjLand;No;06/03/1984;Commercial;AllPub;Gravel;RH;2.1;2;4.6;3.2;18939100
P07055;Adyar;786;08/03/2009;112;1;1;2;Family;Yes;17/03/1974;Others;NoSewr ;Gravel;RH;3.9;2.8;3.3;3.38;8577425
P02057;Chrompet;913;18/12/2011;108;1;1;3;AbNormal;Yes;22/12/1992;Commercial;NoSewr ;No Access;RM;4.7;2.3;3.4;3.35;12295050
P05176;T Nagar;1653;15/04/2010;98;1;1;4;AbNormal;Yes;19/04/1994;House;AllPub;Gravel;RL;4;4.3;4.3;4.21;13547020
P06296;Karapakkam;839;18/09/2009;175;1;1;2;Family;No;26/09/1976;Commercial;NoSewr ;Paved;C;2.4;2.5;4.3;3.19;6179750
P06783;KK Nagar;2248;26/05/2009;162;4;2;6;AdjLand;No;01/06/1987;House;NoSeWa;Gravel;RH;2.2;2.1;4.9;3.25;11109840
